"","movie_name","rating","types","year","duration","audience_rating","expert_rating"
"14361","TEXAS CHAINSAW","R","Horror","2013","1h32m","19","40"
"14362","THE TEXAS CHAINSAW MASSACRE","R","Horror","2003","1h35m","37","58"
"14363","THE TEXAS CHAINSAW MASSACRE 2","R","Comedy, Horror","1986","1h40m","47","44"
"14364","TEXAS CHAINSAW MASSACRE: THE NEXT GENERATION","R","Horror","1994","1h42m","14","18"
"14365","TEXAS KILLING FIELDS","R","Drama, Mystery & Suspense","2011","1h45m","37","27"
"14366","THALE","NR","Mystery & Suspense, Science Fiction & Fantasy","2013","1h17m","55","33"
"14367","THANK GOD IT'S FRIDAY","PG","Comedy, Musical & Performing Arts","1978","1h30m","30","37"
"14368","THANK YOU FOR PLAYING","NR","Documentary","2016","1h20m","90","71"
"14369","THANK YOU FOR SMOKING","R","Comedy, Drama","2006","1h32m","86","87"
"14370","THANK YOU FOR YOUR SERVICE","R","Drama","2017","1h48m","77","72"
"14371","THANKS FOR SHARING","R","Comedy, Drama","2013","1h52m","51","43"
"14372","THARLO","NR","Drama","2016","2h3m","90",NA
"14373","THAT TOUCH OF MINK","NR","Classics, Comedy, Drama, Romance","1962","1h39m","78","70"
"14374","THAT AWKWARD MOMENT","R","Comedy, Romance","2014","1h34m","22","46"
"14375","THAT EVENING SUN","PG-13","Drama","2009","1h49m","82","76"
"14376","THAT MAN FROM RIO","NR","Action & Adventure, Art House & International, Comedy, Drama, Romance","1964","1h54m","92","79"
"14377","THAT MAN: PETER BERLIN","NR","Comedy, Documentary, Drama, Special Interest","2006","1h20m","93","60"
"14378","THAT NIGHT","PG-13","Drama, Romance","1993","1h29m","67","80"
"14379","THAT OBSCURE OBJECT OF DESIRE","R","Comedy, Drama","1977","1h43m","100","90"
"14380","THAT OLD FEELING","PG-13","Comedy, Romance","1997","1h45m","43","59"
"14381","THAT SUGAR FILM","NR","Documentary","2015","1h34m","68","75"
"14382","THAT SUMMER","NR","Documentary","2018","1h20m","82","60"
"14383","THAT THING YOU DO!","PG","Comedy, Kids & Family","1996","1h50m","93","78"
"14384","THAT UNCERTAIN FEELING","NR","Comedy","1941","1h24m","67","57"
"14385","THAT'S ENTERTAINMENT! III","G","Documentary, Musical & Performing Arts, Television","1994","1h53m","100","82"
"14386","THAT'S ENTERTAINMENT","G","Classics, Documentary, Musical & Performing Arts, Television","1973","2h12m","100","85"
"14387","THAT'S ENTERTAINMENT, PART 2","G","Classics, Documentary, Musical & Performing Arts, Television","1976","2h13m","67","79"
"14388","THAT'S MY BOY","R","Comedy","2012","1h56m","20","51"
"14389","THAT'S THE WAY I LIKE IT (FOREVER FEVER)","PG-13","Action & Adventure, Art House & International, Comedy, Drama, Musical & Performing Arts, Romance","1999","1h33m","47","85"
"14390","THAT'S WHAT I AM","PG","Comedy, Drama","2011","1h41m","60","68"
"14391","THAT'S WHAT SHE SAID","R","Comedy, Drama","2012","1h24m","8","31"
"14392","THE 5,000 FINGERS OF DR. T","G","Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy","1953","1h28m","81","75"
"14393","THE 9TH COMPANY (9 ROTA)","R","Action & Adventure, Drama","2005","2h19m","69","75"
"14394","THE ACTRESS","NR","Comedy, Drama","1953","1h30m","60","45"
"14395","THE ADVENTURES OF SHARKBOY AND LAVAGIRL IN 3-D","PG","Action & Adventure, Kids & Family","2005","1h32m","19","33"
"14396","THE AMATEURS (THE MOGULS) (DIRTY MOVIE)","R","Comedy","2005","","19","54"
"14397","THE BABY","PG","Classics, Documentary, Horror, Special Interest","1973","1h42m","93","53"
"14398","THE BACKYARD","NR","Documentary, Special Interest, Sports & Fitness","2002","1h20m","74","54"
"14399","THE BEST AND THE BRIGHTEST","R","Comedy","2011","1h33m","26","30"
"14400","THE BLUE TOOTH VIRGIN","R","Comedy","2009","1h20m","62","52"
"14401","THE BOGUS WITCH PROJECT","R","Comedy","2000","1h25m","0","11"
"14402","LA DEMOISELLE D'HONNEUR (THE BRIDESMAID)","NR","Art House & International, Drama, Mystery & Suspense","2004","1h50m","93","59"
"14403","THE BUNKER","R","Drama, Horror, Mystery & Suspense","2004","1h31m","80","34"
"14404","THE CAKE EATERS","R","Art House & International, Drama","2007","1h35m","64","48"
"14405","THE CHEETAH GIRLS 2","G","Comedy, Kids & Family, Television",NA,"1h36m","57","61"
"14406","THE COMPANY MEN","R","Drama","2011","1h55m","67","55"
"14407","THE CRIMSON KIMONO","NR","Classics, Drama, Mystery & Suspense","1959","1h24m","83","71"
"14408","THE CROODS","PG","Action & Adventure, Animation, Comedy, Kids & Family","2013","1h31m","71","77"
"14409","THE DEBUT","R","Art House & International, Comedy, Drama","2000","1h28m","74","73"
"14410","THE DESERT OF FORBIDDEN ART","NR","Documentary, Musical & Performing Arts","2011","1h20m","89","88"
"14411","THE EAGLE","PG-13","Action & Adventure, Classics, Drama","2011","1h54m","39","41"
