"","rotten_tomatoes_link","movie_title","content_rating","genres","original_release_date","streaming_release_date","runtime","tomatometer_status","tomatometer_rating","audience_status","audience_rating"
"159","m/10009323-broken","The Broken","R","Horror, Mystery & Suspense","","2016-12-29",88,"Rotten",49,"Spilled",25
"160","m/10009334-the_escapist","The Escapist","R","Art House & International, Mystery & Suspense","2008-01-21","2017-04-10",103,"Fresh",64,"Upright",63
"161","m/10009355-sugar","Sugar","R","Drama, Sports & Fitness","2008-01-21","2012-04-16",118,"Certified-Fresh",92,"Upright",80
"162","m/10009420-quid_pro_quo","Quid Pro Quo","R","Drama, Mystery & Suspense","2008-01-20","2016-08-10",81,"Fresh",61,"Spilled",54
"163","m/10009421-red","Red","R","Drama, Mystery & Suspense","2008-08-08","2016-07-08",95,"Fresh",70,"Upright",68
"164","m/10009426-guitar","The Guitar","R","Drama","2008-11-07","2009-02-10",95,"Rotten",33,"Spilled",55
"165","m/10009460-the_road","The Road","R","Drama, Mystery & Suspense, Science Fiction & Fantasy","2009-11-25","2012-04-16",110,"Certified-Fresh",73,"Upright",68
"166","m/10009462-g_force","G-Force","PG","Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy","2009-07-24","2016-06-30",88,"Rotten",22,"Spilled",39
"167","m/10009469-the_other_man","The Other Man","R","Drama","2008-12-03","2017-01-04",90,"Rotten",15,"Spilled",18
"168","m/10009493-duchess","The Duchess","PG-13","Drama","2008-09-05","2017-01-02",109,"Fresh",62,"Upright",67
"169","m/10009516-women","The Women","PG-13","Comedy, Drama","2008-09-04","2010-11-01",114,"Rotten",14,"Spilled",38
"170","m/10009526-public_enemies","Public Enemies","R","Action & Adventure, Drama","2009-07-01","2015-12-10",140,"Fresh",68,"Spilled",59
"171","m/10009547-night_and_day","Night and Day (Bam gua nat)","NR","Art House & International, Drama","2009-10-23","",NA,"Fresh",93,"Upright",68
"172","m/10009552-julia","Julia","R","Art House & International, Drama, Mystery & Suspense","2009-05-08","2013-11-27",144,"Certified-Fresh",72,"Upright",67
"173","m/1000957-angel_and_the_badman","Angel and the Badman","PG","Classics, Western, Romance","1947-02-15","2016-06-30",100,"Fresh",71,"Upright",67
"174","m/10009583-fade_to_black","Fade to Black","R","Mystery & Suspense","2006-10-09","2017-01-08",105,"Rotten",29,"Spilled",34
"175","m/1000959-angel_heart","Angel Heart","R","Drama, Mystery & Suspense","1987-03-06","2016-08-10",113,"Fresh",79,"Upright",81
"176","m/10009596-old_dogs","Old Dogs","PG","Comedy, Drama, Kids & Family","2009-11-25","2016-07-01",88,"Rotten",5,"Spilled",44
"177","m/10009598-surrogates","Surrogates","PG-13","Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy","2009-09-25","2016-08-10",88,"Rotten",37,"Spilled",38
"178","m/10009624-promotion","The Promotion","R","Comedy","2008-03-09","2016-03-05",86,"Rotten",53,"Spilled",28
"179","m/10009632-notorious","Notorious","R","Drama, Musical & Performing Arts","2009-01-16","2015-11-25",122,"Rotten",52,"Upright",65
"180","m/10009635-soul_men","Soul Men","R","Comedy, Musical & Performing Arts","2008-11-07","2017-02-14",100,"Rotten",46,"Spilled",58
"181","m/10009636-igor","Igor","PG","Animation, Comedy, Kids & Family","2008-09-19","2017-04-13",86,"Rotten",39,"Spilled",38
"182","m/10009680-matador","The Matador","NR","Documentary, Special Interest","2008-03-10","2017-05-23",75,"Fresh",73,"Upright",65
"183","m/10009791-auteur","The Auteur","NR","Comedy","2008-01-01","2016-03-15",80,"Fresh",67,"Spilled",41
"184","m/10009799-caller","The Caller","PG-13","Drama, Mystery & Suspense","2008-09-26","2009-04-14",95,"Rotten",13,"Spilled",19
"185","m/10009823-sin_nombre","Sin Nombre","R","Drama, Mystery & Suspense","2009-03-20","2016-08-10",96,"Certified-Fresh",88,"Upright",89
"186","m/10009828-house_of_sleeping_beauties","Das Haus der Schlafenden Schönen (House of the Sleeping Beauties)","NR","Art House & International, Drama","2008-11-14","2009-04-21",99,"Rotten",28,"Spilled",17
"187","m/10009890-stone_angel","The Stone Angel","R","Drama","2007-09-12","2008-10-21",115,"Rotten",44,"Spilled",58
"188","m/10009926-alvin_and_the_chipmunks_2","Alvin and the Chipmunks: The Squeakquel","PG","Animation, Comedy, Kids & Family","2009-12-23","2015-11-25",89,"Rotten",20,"Spilled",49
